"","ID","IDLOG","AGEA","AGER","ANNINS","APE","CNAT","COUPLE","CPAYSN","CPAYSRA","CS24","CS42","CS8","CSSAL","DIPL","EMPL","EXER","GAD","GAQ","GENRE","ILN","IRA","MINE","NAT","PROV","PROVRA","PROVTRA","RECH","SAL","SCOL","SECT10","SECT21","SECT5","STAT","STATANT","STM","TACT","TP","TRAANT","TRANS","TYP","TYPEMPL","TYPMENR"
"11",15412,36842,36,36,NA,"9900Z",NA,"Vit en couple",NA,NA,"Ouvriers qualifiés","Ouvriers qualifiés de la manutention du magasinage et du transport","Ouvriers","Manœuvre, ouvrier spécialisé","BEPC, brevet élémentaire, brevet des collèges, DNB","Salarié du secteur privé à durée déterminée","Continue","30 à 39 ans","35 à 39 ans","Femme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud","Sud",NA,NA,"N’est pas inscrit dans un établissement d’enseignement","Autres activités de services","Activités extra territoriales","Services","Salarié",NA,"En concubinage ou union libre","Emploi","Temps complet",NA,"Voiture, camion, fourgonnette, pick-up","Logement ordinaire","CDD autre que saisonnier","Couple avec enfant(s)"
"12",106994,2044,16,16,NA,NA,NA,"Ne vit pas en couple",NA,NA,NA,NA,NA,NA,"Bac professionnel, brevet professionnel de technicien ou d’enseignement, diplôme équivalent",NA,NA,"10 à 19 ans","15 à 19 ans","Homme","Nouvelle-Calédonie","Dans une autre commune en Nouvelle-Calédonie",NA,"Française (de naissance)","Sud","Sud",NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire","Études ou stage non rémunéré",NA,NA,"Transports en commun","Logement ordinaire",NA,"Couple avec enfant(s)"
"13",172305,12152,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 à 19 ans","10 à 14 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud",NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Autres : ménage complexe"
"14",147957,78355,33,33,NA,NA,NA,"Vit en couple",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 à 39 ans","30 à 34 ans","Homme","Nouvelle-Calédonie","Dans une autre commune en Nouvelle-Calédonie",NA,"Française (de naissance)","Nord","Nord",NA,"Cherche un emploi depuis un an ou plus",NA,"N’est pas inscrit dans un établissement d’enseignement",NA,NA,NA,NA,"Salarié","En concubinage ou union libre","Chômage",NA,"A déjà travaillé","Marche à pied","Logement ordinaire",NA,"Couple avec enfant(s)"
"15",133886,66804,14,14,NA,NA,NA,"Ne vit pas en couple",NA,NA,NA,NA,NA,NA,"Bac général ou technologique, brevet supérieur, capacité en droit, DAEU, ESEU",NA,NA,"10 à 19 ans","10 à 14 ans","Femme","Métropole, DOM ou autre territoire français","Dans une autre commune en Nouvelle-Calédonie",NA,"Française (de naissance)","Sud","Sud",NA,"Ne recherche pas d’emploi",NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire","Études ou stage non rémunéré",NA,"N’a jamais travaillé","Voiture, camion, fourgonnette, pick-up","Logement ordinaire",NA,"Couple avec enfant(s)"
"16",125703,40669,15,14,NA,NA,NA,"Ne vit pas en couple",NA,NA,NA,NA,NA,NA,"Aucun diplôme mais scolarisation jusqu’au collège",NA,NA,"10 à 19 ans","10 à 14 ans","Homme","Nouvelle-Calédonie","Dans un autre logement de la même commune",NA,"Française (de naissance)","Sud","Sud",NA,"Ne recherche pas d’emploi",NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire","Études ou stage non rémunéré",NA,"N’a jamais travaillé","Vélo","Logement ordinaire",NA,"Autres : ménage complexe"
"17",86570,90734,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 à 9 ans","0 à 4 ans","Femme","Nouvelle-Calédonie",NA,NA,"Française (de naissance)","Sud",NA,NA,NA,NA,"N’est pas inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Couple avec enfant(s)"
"18",160868,89467,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 à 9 ans","0 à 4 ans","Femme","Nouvelle-Calédonie",NA,NA,"Française (de naissance)","Sud",NA,NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Couple avec enfant(s)"
"19",182081,58488,37,37,NA,NA,NA,"Vit en couple",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de niveau équivalent","Artisan, commerçant, industriel, travailleur indépendant","Continue","30 à 39 ans","35 à 39 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud","Sud",NA,"Aucun",NA,"Construction","Construction","Construction","Indépendant ou à son compte",NA,"En concubinage ou union libre","Emploi","Temps partiel",NA,"Voiture, camion, fourgonnette, pick-up","Logement ordinaire",NA,"Autres : ménage complexe"
"20",202943,36748,37,37,NA,NA,NA,"Ne vit pas en couple",NA,NA,"Employés administratifs d'entreprise","Employés administratifs d'entreprise","Employés",NA,"CAP, BEP ou diplôme de niveau équivalent","Salarié du secteur privé à durée indéterminée","Continue","30 à 39 ans","35 à 39 ans","Femme","Nouvelle-Calédonie","Dans une autre commune en Nouvelle-Calédonie",NA,"Française (de naissance)","Sud","Sud","Sud",NA,NA,"N’est pas inscrit dans un établissement d’enseignement","Activités scientifiques et techniques ; services administratifs et de soutien ","Activités de services administratifs et de soutien","Commerce","Salarié",NA,"Célibataire","Emploi","Temps complet",NA,"Transports en commun","Logement ordinaire","Emploi sans limite de durée, CDI, titulaire de la fonction publique","Famille monoparentale"
"21",253877,56393,49,49,NA,NA,NA,"Ne vit pas en couple",NA,NA,"Ouvriers non qualifiés","Ouvriers non qualifiés de type artisanal","Ouvriers",NA,"CAP, BEP ou diplôme de niveau équivalent","Salarié du secteur privé à durée déterminée","Continue","40 à 49 ans","45 à 49 ans","Femme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Nord","Nord","Nord",NA,NA,"N’est pas inscrit dans un établissement d’enseignement","Autres activités de services","Activités des ménages en tant qu’employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre","Services","Salarié",NA,"Célibataire","Emploi","Temps complet",NA,"Marche à pied","Logement ordinaire",NA,"Personne seule"
"22",196093,45664,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 à 9 ans","0 à 4 ans","Femme","Nouvelle-Calédonie",NA,NA,"Française (de naissance)","Sud",NA,NA,NA,NA,"N’est pas inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Couple avec enfant(s)"
"23",119553,2816,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 à 9 ans","5 à 9 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud",NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Couple avec enfant(s)"
"24",98052,72786,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 à 19 ans","10 à 14 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Nord","Nord",NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Autres : ménage complexe"
"25",134805,34052,24,24,NA,NA,NA,"Vit en couple",NA,NA,NA,NA,NA,NA,"Aucun diplôme mais scolarisation au-delà du collège",NA,NA,"20 à 29 ans","20 à 24 ans","Femme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud",NA,"Ne recherche pas d’emploi",NA,"N’est pas inscrit dans un établissement d’enseignement",NA,NA,NA,NA,"Salarié","En concubinage ou union libre","Femme ou homme au foyer",NA,"A déjà travaillé","Voiture, camion, fourgonnette, pick-up","Logement ordinaire",NA,"Autres : ménage complexe"
"26",64548,53292,48,48,NA,"4673A",NA,"Vit en couple",NA,NA,"Ouvriers qualifiés","Ouvriers qualifiés de la manutention du magasinage et du transport","Ouvriers",NA,"CAP, BEP ou diplôme de niveau équivalent","Salarié du secteur privé à durée déterminée","Continue","40 à 49 ans","45 à 49 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud","Sud",NA,NA,"N’est pas inscrit dans un établissement d’enseignement","Commerce de gros et de détail, transports, hébergement et restauration","Commerce ; réparation d'automobiles et de motocycles","Commerce","Salarié",NA,"Marié","Emploi","Temps complet",NA,"Voiture, camion, fourgonnette, pick-up","Logement ordinaire",NA,"Couple avec enfant(s)"
"27",159195,99559,18,18,NA,NA,NA,"Ne vit pas en couple",NA,NA,NA,NA,NA,NA,"BEPC, brevet élémentaire, brevet des collèges, DNB",NA,NA,"10 à 19 ans","15 à 19 ans","Femme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud",NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire","Études ou stage non rémunéré",NA,NA,"Transports en commun","Logement ordinaire",NA,"Autres : ménage complexe"
"28",73777,75500,30,30,NA,NA,NA,"Ne vit pas en couple",NA,NA,"Techniciens","Techniciens","Professions Intermédiaires","Employé (par exemple : de bureau, de commerce, de la restauration, de maison)","Aucun diplôme mais scolarisation au-delà du collège","Salarié du secteur privé à durée déterminée","Continue","30 à 39 ans","30 à 34 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud","Sud",NA,NA,"N’est pas inscrit dans un établissement d’enseignement","Construction","Construction","Construction","Salarié",NA,"Célibataire","Emploi","Temps complet",NA,"Transports en commun","Logement ordinaire","CDD autre que saisonnier","Autres : ménage complexe"
"29",7378,64711,29,28,NA,NA,NA,"Vit en couple",NA,NA,NA,NA,NA,NA,"Bac professionnel, brevet professionnel de technicien ou d’enseignement, diplôme équivalent",NA,NA,"20 à 29 ans","25 à 29 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud",NA,"Cherche un emploi depuis un an ou plus",NA,NA,NA,NA,NA,NA,"Salarié","En concubinage ou union libre","Études ou stage non rémunéré",NA,"A déjà travaillé","Voiture, camion, fourgonnette, pick-up","Logement ordinaire",NA,"Couple avec enfant(s)"
"30",12182,104014,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 à 19 ans","10 à 14 ans","Homme","Nouvelle-Calédonie","Dans une autre commune en Nouvelle-Calédonie",NA,"Française (de naissance)","Sud","Sud",NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Famille monoparentale"
"31",117191,20612,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 à 9 ans","0 à 4 ans","Femme","Nouvelle-Calédonie",NA,NA,"Française (de naissance)","Iles",NA,NA,NA,NA,"N’est pas inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Autres : ménage complexe"
"32",192606,70476,36,36,2016,NA,NA,"Vit en couple",NA,NA,NA,NA,NA,NA,"Bac général ou technologique, brevet supérieur, capacité en droit, DAEU, ESEU","Artisan, commerçant, industriel, travailleur indépendant","Continue","30 à 39 ans","35 à 39 ans","Femme","Polynésie française","En métropole, DOM",NA,"Française (de naissance)","Sud","METR","Sud",NA,"Aucun","N’est pas inscrit dans un établissement d’enseignement","Commerce de gros et de détail, transports, hébergement et restauration","Commerce ; réparation d'automobiles et de motocycles","Commerce","Indépendant ou à son compte",NA,"En concubinage ou union libre","Emploi","Temps complet",NA,"Voiture, camion, fourgonnette, pick-up","Logement ordinaire",NA,"Couple avec enfant(s)"
"33",247965,99900,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 à 9 ans","0 à 4 ans","Femme","Nouvelle-Calédonie",NA,NA,"Française (de naissance)","Sud",NA,NA,NA,NA,"N’est pas inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Couple avec enfant(s)"
"34",189509,66941,71,71,NA,NA,NA,"Vit en couple",NA,NA,NA,NA,NA,NA,"CEP",NA,NA,"70 à 79 ans","70 à 74 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud",NA,"Ne recherche pas d’emploi",NA,"N’est pas inscrit dans un établissement d’enseignement",NA,NA,NA,NA,"Salarié","Marié","Retraite ou pré-retraite",NA,"A déjà travaillé","Voiture, camion, fourgonnette, pick-up","Logement ordinaire",NA,"Couple sans enfant"
"35",223655,20549,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 à 9 ans","0 à 4 ans","Femme","Nouvelle-Calédonie",NA,NA,"Française (de naissance)","Sud",NA,NA,NA,NA,"N’est pas inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Couple avec enfant(s)"
"36",205040,90040,6,6,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 à 9 ans","5 à 9 ans","Femme","Wallis-et-Futuna","Dans une autre commune en Nouvelle-Calédonie",NA,"Française (de naissance)","Sud","Sud",NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Couple avec enfant(s)"
"37",8058,50638,63,63,NA,NA,NA,"Vit en couple",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de niveau équivalent",NA,NA,"60 à 69 ans","60 à 64 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud",NA,"Ne recherche pas d’emploi",NA,"N’est pas inscrit dans un établissement d’enseignement",NA,NA,NA,NA,"Salarié","Marié","Retraite ou pré-retraite",NA,"A déjà travaillé","Voiture, camion, fourgonnette, pick-up","Logement ordinaire",NA,"Couple avec enfant(s)"
"38",93665,43619,10,9,NA,NA,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 à 9 ans","5 à 9 ans","Homme","Nouvelle-Calédonie","Dans un autre logement de la même commune",NA,"Étrangère","Sud","Sud",NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Autres : ménage complexe"
"39",49890,33546,15,14,NA,NA,NA,"Ne vit pas en couple",NA,NA,NA,NA,NA,NA,"Bac général ou technologique, brevet supérieur, capacité en droit, DAEU, ESEU",NA,NA,"10 à 19 ans","10 à 14 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Nord","Nord",NA,"Ne recherche pas d’emploi",NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire","Études ou stage non rémunéré",NA,"N’a jamais travaillé","Marche à pied","Logement ordinaire",NA,"Couple avec enfant(s)"
"40",200153,78820,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 à 19 ans","10 à 14 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud",NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Autres : ménage complexe"
"41",62719,96630,56,56,NA,NA,NA,"Vit en couple",NA,NA,"Personnels des services directs aux particuliers","Personnels des services directs aux particuliers","Employés","Employé (par exemple : de bureau, de commerce, de la restauration, de maison)","Aucun diplôme mais scolarisation jusqu’en primaire","Salarié du secteur privé à durée indéterminée","Continue","50 à 59 ans","55 à 59 ans","Femme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud","Sud",NA,NA,"N’est pas inscrit dans un établissement d’enseignement","Autres activités de services","Activités des ménages en tant qu’employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre","Services","Salarié",NA,"En concubinage ou union libre","Emploi","Temps partiel",NA,"Transports en commun","Logement ordinaire","Emploi sans limite de durée, CDI, titulaire de la fonction publique","Autres : ménage complexe"
"42",200710,99894,38,37,NA,NA,NA,"Vit en couple",NA,NA,"Techniciens","Techniciens","Professions Intermédiaires","Technicien (non cadre)","CAP, BEP ou diplôme de niveau équivalent","Salarié du secteur privé à durée indéterminée","Continue","30 à 39 ans","35 à 39 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud","Nord",NA,NA,"N’est pas inscrit dans un établissement d’enseignement","Construction","Construction","Construction","Salarié",NA,"Marié","Emploi","Temps complet",NA,"Transports en commun","Logement ordinaire","Emploi sans limite de durée, CDI, titulaire de la fonction publique","Couple avec enfant(s)"
"43",112273,17946,43,42,NA,NA,NA,"Ne vit pas en couple",NA,NA,NA,NA,NA,NA,"Master, DEA, diplôme grande école niveau bac + 5, doctorat de santé","Artisan, commerçant, industriel, travailleur indépendant","Intermittente ou saisonnière","40 à 49 ans","40 à 44 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud","Sud",NA,"Aucun","N’est pas inscrit dans un établissement d’enseignement","Activités scientifiques et techniques ; services administratifs et de soutien ","Activités spécialisées, scientifiques et techniques","Commerce","Indépendant ou à son compte",NA,"Célibataire","Emploi","Temps complet",NA,"Voiture, camion, fourgonnette, pick-up","Logement ordinaire",NA,"Personne seule"
"44",251444,85506,43,42,NA,NA,NA,"Ne vit pas en couple",NA,NA,"Ouvriers qualifiés","Ouvriers qualifiés de type artisanal","Ouvriers",NA,"Aucun diplôme mais scolarisation jusqu’en primaire","Salarié du secteur privé à durée déterminée","Continue","40 à 49 ans","40 à 44 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud","Sud",NA,NA,"N’est pas inscrit dans un établissement d’enseignement","Construction","Construction","Construction","Salarié",NA,"Célibataire","Emploi","Temps complet",NA,"Marche à pied","Logement ordinaire",NA,"Autres : ménage complexe"
"45",242667,50174,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 à 9 ans","5 à 9 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Nord","Nord",NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Couple avec enfant(s)"
"46",247359,82120,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 à 19 ans","10 à 14 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud",NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Couple avec enfant(s)"
"47",187361,96693,14,14,NA,NA,NA,"Ne vit pas en couple",NA,NA,NA,NA,NA,NA,"Aucun diplôme mais scolarisation jusqu’au collège",NA,NA,"10 à 19 ans","10 à 14 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Sud","Sud",NA,"Ne recherche pas d’emploi",NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire","Études ou stage non rémunéré",NA,"N’a jamais travaillé","Marche à pied","Logement ordinaire",NA,"Couple avec enfant(s)"
"48",177337,105039,36,36,NA,NA,508,"Vit en couple",NA,NA,NA,NA,NA,NA,"Master, DEA, diplôme grande école niveau bac + 5, doctorat de santé",NA,NA,"30 à 39 ans","35 à 39 ans","Femme","Nouvelle-Calédonie","A l’étranger",NA,"Étrangère","Sud","ETRA",NA,"Ne recherche pas d’emploi",NA,"N’est pas inscrit dans un établissement d’enseignement",NA,NA,NA,NA,"Salarié","Marié","Femme ou homme au foyer",NA,"A déjà travaillé","Voiture, camion, fourgonnette, pick-up","Logement ordinaire",NA,"Couple avec enfant(s)"
"49",20317,27577,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 à 19 ans","10 à 14 ans","Homme","Nouvelle-Calédonie","Dans le même logement que maintenant",NA,"Française (de naissance)","Nord","Nord",NA,NA,NA,"Est inscrit dans un établissement d’enseignement",NA,NA,NA,NA,NA,"Célibataire",NA,NA,NA,NA,"Logement ordinaire",NA,"Couple avec enfant(s)"
